threshold,mean_f1,mean_precision,fold_f1_json,fold_precision_json,selected
0.42999999999999999,0.6674730346747072,0.52715076718724307,"[0.6774716369529984,0.6696562032884903,0.6293592862935928,0.6677316293929713,0.6931464174454829]","[0.5331632653061225,0.5346062052505967,0.48318804483188044,0.5414507772020726,0.5433455433455433]",False
0.44,0.66878190645643454,0.53100929758168858,"[0.6802610114192496,0.6726998491704375,0.6317512274959084,0.6731234866828087,0.6860739575137687]","[0.5373711340206185,0.5399515738498789,0.48737373737373735,0.549407114624506,0.5409429280397022]",False
0.45000000000000001,0.67108053289535941,0.5361639870517606,"[0.6910907577019151,0.668693009118541,0.629232039636664,0.677497969130788,0.6888888888888889]","[0.5525965379494008,0.5392156862745098,0.4878361075544174,0.5552596537949401,0.5459119496855346]",False
0.46000000000000002,0.67240963586887836,0.53975773530965998,"[0.6884970612930311,0.6687069625095639,0.6317539484621779,0.6792452830188679,0.6938449240607514]","[0.553306342780027,0.5415117719950434,0.49159120310478654,0.5602165087956699,0.5521628498727735]",False
0.46999999999999997,0.67319452867208562,0.54401517748682071,"[0.6888888888888889,0.6707787201233616,0.6296296296296297,0.6793388429752066,0.6973365617433414]","[0.5597222222222222,0.5457967377666249,0.49340369393139843,0.563013698630137,0.5581395348837209]",False
0.47999999999999998,0.67376202357848758,0.54707990284758146,"[0.6856649395509499,0.6728538283062645,0.631578947368421,0.6783042394014963,0.7004081632653061]","[0.5607344632768362,0.5485498108448928,0.49732620320855614,0.5643153526970954,0.5644736842105263]",False
0.48999999999999999,0.67575859917768377,0.55306980438791176,"[0.6925110132158591,0.6770914777169664,0.6323024054982818,0.6790227464195451,0.6978653530377669]","[0.5737226277372263,0.5558408215661104,0.5013623978201635,0.57001414427157,0.5644090305444888]",False
0.5,0.67460157114713437,0.55682344961990071,"[0.6881720430107527,0.6740681998413958,0.6294681778552746,0.6779661016949152,0.7033333333333334]","[0.5765765765765766,0.5584756898817346,0.5034867503486751,0.5714285714285714,0.5741496598639456]",False
0.51000000000000001,0.6727676829845457,0.55914444037404043,"[0.6864864864864865,0.6800320769847634,0.6243386243386243,0.6797608881298036,0.6932203389830508]","[0.5772727272727273,0.5676037483266398,0.5028409090909091,0.5759768451519537,0.5720279720279721]",False
0.52000000000000002,0.67199270438941616,0.56288207877493657,"[0.6904109589041096,0.6835236541598695,0.621307072515667,0.6815450643776824,0.6831767719897524]","[0.586046511627907,0.5771349862258953,0.50509461426492,0.5795620437956205,0.56657223796034]",False
0.53000000000000003,0.66963329154282902,0.56552546885136845,"[0.6882516188714154,0.6794019933554817,0.6195652173913043,0.6776429809358753,0.6833046471600689]","[0.589540412044374,0.5809659090909091,0.5074183976261127,0.5801186943620178,0.569583931133429]",False
0.54000000000000004,0.67436507183493144,0.57385811771251904,"[0.6928104575163399,0.6829679595278246,0.6314814814814815,0.6788511749347258,0.6857142857142857]","[0.5974235104669887,0.5903790087463557,0.5246153846153846,0.5829596412556054,0.5739130434782609]",False
0.55000000000000004,0.67591112086278149,0.58115148815827866,"[0.6987724268177526,0.681468830059778,0.6377358490566037,0.6777875329236172,0.6837909654561559]","[0.6075533661740559,0.5946348733233979,0.5365079365079365,0.5857359635811836,0.5813253012048193]",False
