model_family,candidate_order,C,class_weight,mean_auprc,mean_auroc,fold_auprc_json,fold_auroc_json,selected,max_depth,min_samples_leaf,max_features
random_forest,11,,balanced,0.74080960754238467,0.77887873296090304,"[0.7616665615461771,0.7724650505356027,0.7110730192096919,0.7343287042274904,0.7245147021929617]","[0.8027407407407409,0.7894269230769231,0.7628852975955853,0.7645293209876542,0.774811382403612]",False,4,2,0.5
random_forest,12,,,0.75689530464864474,0.79102851778388672,"[0.7691487940459631,0.7779234803107715,0.7360537283982307,0.7627360088324092,0.7386145116558491]","[0.8047485380116959,0.7946769230769231,0.775147812376823,0.7860030864197531,0.7945662290342383]",False,8,10,sqrt
random_forest,13,,balanced,0.75663550340317565,0.79036295612088536,"[0.764053080337489,0.7790374820764798,0.7397109585221922,0.7598432963928793,0.7405326996868383]","[0.802888888888889,0.7954115384615384,0.7755538037051637,0.7817824074074073,0.7961781421414286]",False,8,10,sqrt
random_forest,14,,,0.73891946847338008,0.77874695037861508,"[0.7641868244683371,0.7641195370861824,0.6934067216813377,0.7390802099697933,0.73380404916125]","[0.7989746588693958,0.7808538461538461,0.7570082774931021,0.7637654320987655,0.7931325372779658]",False,8,10,0.5
random_forest,15,,balanced,0.73820954879174217,0.77884460038386594,"[0.7628441777284766,0.7593369189614122,0.6979865849663262,0.7392554412135051,0.731624621088991]","[0.8009668615984407,0.7810307692307693,0.7588490342924714,0.7614081790123457,0.7919681577853026]",False,8,10,0.5
random_forest,16,,,0.75719613277151443,0.79072189237266854,"[0.7678139681886308,0.7768243419921599,0.7348992345941843,0.7608592281893158,0.745583890893281]","[0.8040506822612087,0.7937807692307692,0.7748088293259755,0.7813850308641975,0.7995841501811917]",True,8,5,sqrt
random_forest,17,,balanced,0.75378141497199469,0.78881274854225969,"[0.7644953828090665,0.773208218967873,0.7308588332128754,0.7599683254094759,0.7403763144606822]","[0.803812865497076,0.7929115384615385,0.7700670082774932,0.7792129629629629,0.798059367512228]",False,8,5,sqrt
random_forest,18,,,0.74264055994134948,0.77961577896563594,"[0.7673539523003363,0.7639311611940873,0.6977946788652402,0.744531841825157,0.7395911655219267]","[0.8030175438596492,0.7812461538461539,0.7555025620811984,0.7652276234567901,0.7930850115843878]",False,8,5,0.5
random_forest,19,,balanced,0.73663985549455613,0.7780190653920106,"[0.7632606722027323,0.7555905312081909,0.6961838585812551,0.7362437971287954,0.7319204183518073]","[0.8033294346978558,0.7810923076923075,0.755368545526212,0.7587962962962962,0.7915087427473811]",False,8,5,0.5
random_forest,20,,,0.75501747709216127,0.78946640764314391,"[0.7629721728788448,0.7714190401677395,0.7334407028611447,0.7646490205909486,0.7426064489621289]","[0.8015750487329435,0.7923000000000001,0.7719038234134805,0.7837037037037037,0.7978494623655913]",False,8,2,sqrt
random_forest,21,,balanced,0.75406541465882826,0.78948975527854981,"[0.7583534570812696,0.768850017434117,0.740671919091815,0.7582305489615533,0.7442211307253863]","[0.8017387914230019,0.7906576923076923,0.7772723689396925,0.7785918209876543,0.7991881027347076]",False,8,2,sqrt
random_forest,22,,,0.74124493682118886,0.77901708091673505,"[0.7669333247971404,0.7628395617520043,0.6956666350798341,0.7424434002779285,0.7383417621990362]","[0.8018089668615984,0.7819692307692307,0.7548718959400866,0.763738425925926,0.7926968850868333]",False,8,2,0.5
