threshold,answered_count,total_count,coverage,unsafe_answered_count,selective_risk
0.46335919301917816,374,1068,0.35018726591760302,145,0.38770053475935828
0.46300618895568463,375,1068,0.351123595505618,146,0.38933333333333331
0.46287614395735771,376,1068,0.35205992509363299,147,0.39095744680851063
0.46262479458597267,378,1068,0.3539325842696629,147,0.3888888888888889
0.46252793669238229,379,1068,0.35486891385767788,147,0.38786279683377306
0.46248887564978147,380,1068,0.35580524344569286,147,0.38684210526315788
0.46245159819204124,381,1068,0.35674157303370785,148,0.3884514435695538
0.46235324982968268,382,1068,0.35767790262172283,149,0.3900523560209424
0.46204671007861858,383,1068,0.35861423220973782,149,0.38903394255874674
0.46117320453947747,384,1068,0.3595505617977528,150,0.390625
0.46006026058414801,385,1068,0.36048689138576778,151,0.39220779220779223
0.45772737400429553,386,1068,0.36142322097378277,151,0.39119170984455959
0.45763100835779791,387,1068,0.36235955056179775,152,0.39276485788113696
0.45592235854379853,388,1068,0.36329588014981273,152,0.39175257731958762
0.4556852866435579,389,1068,0.36423220973782772,152,0.39074550128534702
0.45511499869462951,390,1068,0.3651685393258427,152,0.38974358974358975
0.45475530687825866,391,1068,0.36610486891385768,153,0.39130434782608697
0.45464412864261078,392,1068,0.36704119850187267,154,0.39285714285714285
0.45415218582102979,393,1068,0.36797752808988765,155,0.3944020356234097
0.45376830607080865,394,1068,0.36891385767790263,156,0.39593908629441626
0.45286652789545984,395,1068,0.36985018726591762,157,0.39746835443037976
0.45203659830227094,396,1068,0.3707865168539326,157,0.39646464646464646
0.45130092543661071,397,1068,0.37172284644194759,157,0.39546599496221663
0.45106404215218832,399,1068,0.37359550561797755,157,0.39348370927318294
0.45090774280667195,400,1068,0.37453183520599254,157,0.39250000000000002
0.45085331346589103,401,1068,0.37546816479400746,157,0.39152119700748128
0.45035883596598014,402,1068,0.37640449438202245,158,0.39303482587064675
0.44939803691406177,403,1068,0.37734082397003743,159,0.39454094292803971
0.44776911262042857,404,1068,0.37827715355805241,159,0.39356435643564358
0.44710039423391462,406,1068,0.38014981273408238,159,0.39162561576354682
0.4470757379519984,407,1068,0.38108614232209737,159,0.39066339066339067
0.44699631468882867,408,1068,0.38202247191011235,159,0.38970588235294118
0.44662056412280421,409,1068,0.38295880149812733,160,0.39119804400977998
0.44658237204529844,410,1068,0.38389513108614232,161,0.39268292682926831
0.44587409694863483,411,1068,0.3848314606741573,161,0.39172749391727496
0.44536267775517469,412,1068,0.38576779026217228,162,0.39320388349514562
0.44447573394360473,413,1068,0.38670411985018727,162,0.39225181598062953
0.44394870630108302,414,1068,0.38764044943820225,162,0.39130434782608697
0.44273698809650486,415,1068,0.38857677902621723,163,0.39277108433734942
0.44242606692753761,416,1068,0.38951310861423222,164,0.39423076923076922
0.44230367695689393,417,1068,0.3904494382022472,165,0.39568345323741005
0.44116139270735805,419,1068,0.39232209737827717,165,0.3937947494033413
